claim_id,predict,label
114692,supported,refuted
6,supported,NEI
17,supported,NEI
8223,supported,NEI
31,supported,supported
114723,supported,supported
8232,supported,NEI
114731,NEI,supported
114732,NEI,refuted
49,supported,supported
114744,supported,NEI
58,NEI,supported
8251,NEI,NEI
114752,NEI,refuted
65,supported,supported
106563,NEI,refuted
70,supported,supported
8268,NEI,NEI
114765,supported,supported
106574,NEI,NEI
83,supported,supported
90,NEI,NEI
106587,NEI,NEI
97,supported,supported
104,supported,supported
105,supported,NEI
8298,supported,NEI
8301,NEI,NEI
8309,supported,supported
118,supported,supported
121,NEI,NEI
8314,NEI,NEI
8329,NEI,NEI
114831,supported,supported
106643,supported,NEI
106646,supported,refuted
156,supported,NEI
106658,NEI,supported
106662,NEI,refuted
169,supported,supported
171,NEI,NEI
114863,NEI,NEI
114864,NEI,refuted
180,supported,supported
114869,supported,NEI
114876,NEI,refuted
194,supported,supported
106691,supported,NEI
106694,NEI,refuted
114886,NEI,refuted
211,supported,NEI
106710,supported,NEI
106714,supported,NEI
8412,NEI,supported
106716,NEI,refuted
106717,NEI,refuted
8413,NEI,supported
259,supported,supported
8455,supported,refuted
281,supported,NEI
114974,NEI,refuted
291,NEI,supported
106788,NEI,NEI
106795,supported,refuted
114988,supported,NEI
300,supported,supported
8501,supported,supported
8502,NEI,NEI
311,supported,supported
8503,supported,NEI
115003,NEI,refuted
8508,supported,supported
8519,NEI,refuted
8521,NEI,NEI
8522,supported,refuted
115019,supported,NEI
106828,supported,refuted
345,NEI,supported
106841,NEI,refuted
8545,NEI,refuted
8546,supported,supported
359,NEI,refuted
106864,supported,NEI
106866,NEI,supported
8574,supported,NEI
115071,supported,refuted
106881,NEI,refuted
115074,supported,refuted
106883,supported,supported
106889,supported,supported
115082,NEI,refuted
106892,supported,NEI
106897,NEI,refuted
106911,NEI,refuted
419,NEI,NEI
106917,supported,refuted
8616,supported,NEI
106923,NEI,refuted
115120,NEI,NEI
115126,NEI,NEI
106935,NEI,NEI
115134,supported,NEI
106945,supported,NEI
8646,supported,NEI
106952,NEI,refuted
115147,NEI,refuted
115152,NEI,NEI
106962,NEI,refuted
106963,supported,refuted
8660,supported,supported
472,NEI,supported
478,NEI,NEI
8679,NEI,NEI
115180,supported,NEI
106994,NEI,refuted
115192,NEI,supported
505,NEI,supported
107001,supported,supported
513,NEI,NEI
107010,NEI,refuted
516,supported,NEI
8709,supported,supported
107018,NEI,refuted
107019,supported,supported
523,NEI,supported
115216,supported,NEI
107025,supported,refuted
8720,supported,NEI
107042,supported,NEI
115245,supported,NEI
115249,NEI,refuted
115254,supported,refuted
569,supported,NEI
107071,NEI,supported
8769,supported,supported
107093,supported,refuted
8790,NEI,NEI
115300,NEI,NEI
107110,supported,refuted
622,supported,NEI
107126,supported,refuted
107135,NEI,supported
115331,supported,refuted
644,NEI,NEI
8841,NEI,NEI
115338,supported,supported
115341,NEI,refuted
8859,NEI,NEI
667,supported,supported
115359,NEI,refuted
675,supported,NEI
8869,NEI,refuted
115379,NEI,refuted
107188,NEI,refuted
107197,supported,supported
107203,NEI,NEI
708,supported,refuted
107205,NEI,NEI
718,supported,supported
8910,supported,supported
8916,supported,supported
107226,supported,refuted
115421,supported,supported
8935,supported,NEI
115437,NEI,NEI
107246,supported,NEI
8946,supported,supported
755,supported,supported
760,supported,NEI
107259,NEI,supported
767,supported,NEI
107263,supported,refuted
115459,supported,NEI
8965,NEI,supported
107274,NEI,refuted
107278,supported,refuted
107289,NEI,refuted
107290,NEI,NEI
107291,supported,NEI
115482,NEI,refuted
800,NEI,NEI
8998,NEI,NEI
115496,supported,refuted
9004,NEI,supported
9010,supported,NEI
107315,NEI,NEI
115510,NEI,supported
107321,NEI,refuted
107327,supported,refuted
836,NEI,NEI
115534,supported,refuted
115538,NEI,refuted
115539,supported,supported
9048,NEI,NEI
9049,supported,supported
9058,NEI,supported
9065,NEI,refuted
115571,supported,supported
107385,supported,refuted
9082,supported,supported
890,supported,supported
892,supported,supported
900,supported,supported
9093,NEI,NEI
115590,supported,NEI
9102,supported,supported
107407,supported,NEI
9105,supported,supported
9117,NEI,refuted
927,supported,NEI
115619,supported,refuted
932,supported,supported
9126,supported,supported
115625,supported,supported
9133,supported,supported
9142,supported,NEI
107449,supported,refuted
115646,NEI,refuted
115652,NEI,supported
975,supported,refuted
9172,supported,supported
107477,NEI,refuted
1005,NEI,NEI
115703,NEI,refuted
1019,supported,supported
9218,supported,NEI
107539,supported,refuted
115732,NEI,refuted
9237,supported,NEI
107557,NEI,NEI
9256,supported,refuted
1070,supported,supported
9266,supported,NEI
1077,supported,NEI
1078,supported,refuted
115771,NEI,supported
1090,supported,NEI
1097,supported,supported
9291,NEI,refuted
115788,NEI,supported
115799,supported,supported
107609,supported,supported
9305,supported,supported
1126,NEI,NEI
107623,supported,supported
9329,NEI,NEI
9332,NEI,NEI
115831,NEI,refuted
115832,NEI,refuted
107644,NEI,refuted
9343,supported,refuted
9345,supported,supported
115848,NEI,refuted
1163,supported,NEI
9358,NEI,NEI
115856,NEI,refuted
9367,supported,NEI
9369,supported,supported
107673,supported,supported
107676,NEI,refuted
9372,supported,supported
115873,NEI,NEI
1188,NEI,NEI
115877,supported,NEI
1190,supported,NEI
107686,supported,NEI
107687,supported,supported
1194,supported,NEI
9388,supported,supported
9389,supported,NEI
107700,NEI,refuted
9400,supported,supported
115901,NEI,NEI
1216,supported,NEI
107721,NEI,refuted
115913,supported,refuted
107733,supported,NEI
107738,supported,NEI
1248,NEI,NEI
9447,NEI,NEI
107753,supported,supported
1259,NEI,NEI
115948,supported,supported
115954,NEI,refuted
9460,supported,NEI
107771,supported,NEI
9469,supported,NEI
115966,supported,NEI
107780,supported,supported
115979,supported,refuted
9484,supported,NEI
9489,NEI,NEI
107795,supported,supported
115996,supported,supported
107812,NEI,NEI
107815,NEI,supported
9514,supported,supported
107826,supported,refuted
9525,NEI,refuted
107838,NEI,refuted
1343,supported,supported
107840,supported,refuted
107853,supported,NEI
116053,NEI,refuted
1367,NEI,supported
9560,NEI,NEI
107874,NEI,refuted
107875,supported,supported
116067,NEI,refuted
107880,NEI,refuted
107883,supported,supported
116080,supported,NEI
1399,NEI,NEI
1420,supported,supported
116110,NEI,NEI
107920,supported,refuted
1427,supported,NEI
116119,NEI,refuted
1433,supported,supported
116136,NEI,NEI
116137,NEI,NEI
1449,supported,supported
116139,NEI,refuted
9643,supported,NEI
9652,NEI,NEI
107966,supported,refuted
107972,NEI,supported
9687,NEI,supported
116185,supported,refuted
107996,supported,NEI
1502,supported,NEI
108012,supported,NEI
1517,NEI,NEI
9712,NEI,supported
9720,supported,supported
116219,supported,NEI
108028,NEI,refuted
116233,NEI,refuted
116234,NEI,refuted
1548,NEI,NEI
116237,NEI,refuted
108046,NEI,refuted
108047,supported,supported
116238,supported,refuted
108053,NEI,refuted
108061,supported,NEI
108063,NEI,refuted
108069,NEI,NEI
108070,supported,NEI
108073,supported,supported
108075,supported,supported
116267,NEI,refuted
1594,supported,supported
108092,NEI,refuted
116294,NEI,refuted
9803,NEI,NEI
9805,NEI,NEI
116305,NEI,refuted
116315,NEI,refuted
108127,supported,NEI
9823,supported,supported
9824,supported,NEI
116328,NEI,NEI
1641,supported,supported
9834,supported,supported
1648,supported,supported
116338,NEI,refuted
9858,supported,NEI
1667,supported,supported
1669,NEI,NEI
1670,NEI,NEI
1671,supported,supported
108172,NEI,refuted
9872,supported,supported
9879,supported,NEI
108186,NEI,supported
9885,NEI,NEI
116389,supported,refuted
9898,supported,supported
1724,supported,supported
9918,NEI,NEI
108223,supported,NEI
100035,NEI,NEI
108234,supported,NEI
116429,supported,supported
100049,NEI,refuted
116439,supported,NEI
108248,supported,refuted
116444,supported,supported
1757,supported,NEI
100062,NEI,refuted
1760,NEI,supported
116450,NEI,refuted
108264,NEI,refuted
1775,NEI,NEI
9970,supported,NEI
108277,NEI,refuted
108280,NEI,refuted
9980,supported,NEI
9981,supported,supported
116479,supported,supported
108288,NEI,refuted
9988,supported,supported
100104,NEI,supported
108299,NEI,NEI
9997,supported,NEI
10005,supported,NEI
10007,supported,supported
108312,NEI,NEI
116505,supported,NEI
10015,NEI,NEI
10016,supported,supported
108320,NEI,supported
108322,supported,refuted
10019,NEI,supported
108327,NEI,refuted
108329,supported,refuted
108335,NEI,refuted
108341,supported,supported
116535,NEI,supported
116540,supported,refuted
10044,supported,supported
1855,supported,NEI
10048,NEI,supported
116549,NEI,refuted
1861,supported,supported
100167,supported,refuted
116556,supported,supported
108366,supported,supported
100175,NEI,NEI
10065,supported,supported
108373,supported,supported
116566,NEI,refuted
100186,NEI,refuted
1883,supported,supported
10077,NEI,supported
116574,supported,refuted
100191,NEI,NEI
10080,supported,NEI
100192,supported,refuted
1889,supported,NEI
100196,NEI,NEI
108393,supported,refuted
1897,supported,NEI
116587,supported,refuted
100213,supported,supported
108409,NEI,NEI
108410,NEI,supported
116606,supported,NEI
1922,NEI,supported
108424,NEI,refuted
10123,NEI,NEI
108430,NEI,refuted
108436,NEI,NEI
108437,NEI,refuted
10133,NEI,supported
116633,NEI,refuted
116636,supported,refuted
100260,supported,NEI
116650,NEI,refuted
1967,supported,refuted
1971,NEI,NEI
1974,NEI,NEI
10177,supported,supported
116674,supported,supported
1995,supported,supported
116684,supported,refuted
108493,supported,NEI
116686,supported,refuted
10192,supported,NEI
100307,supported,supported
10203,supported,NEI
10205,supported,supported
116702,supported,NEI
108515,supported,supported
108516,supported,refuted
10214,NEI,NEI
108523,NEI,refuted
10220,supported,NEI
2029,supported,NEI
116723,NEI,refuted
100343,supported,supported
10231,supported,supported
108535,NEI,refuted
10234,supported,supported
108540,supported,supported
100372,supported,refuted
116757,NEI,NEI
10262,NEI,NEI
116759,NEI,refuted
116761,supported,refuted
2074,NEI,NEI
10267,supported,supported
2083,NEI,NEI
100392,supported,supported
10281,supported,refuted
116776,NEI,refuted
108589,supported,refuted
108590,supported,NEI
100401,NEI,NEI
10294,supported,NEI
100409,NEI,NEI
10306,supported,refuted
2122,NEI,NEI
116811,NEI,refuted
116815,NEI,refuted
108629,supported,supported
100442,supported,supported
116829,NEI,refuted
100447,NEI,refuted
116837,NEI,refuted
108646,NEI,refuted
10347,supported,supported
2161,supported,NEI
108667,NEI,NEI
10369,NEI,refuted
100482,supported,supported
100485,NEI,supported
116879,supported,supported
108687,NEI,refuted
2191,supported,NEI
116886,NEI,supported
116892,supported,supported
2209,NEI,NEI
100516,NEI,refuted
2214,NEI,refuted
10413,supported,supported
116915,supported,supported
2237,supported,supported
108734,NEI,refuted
100551,supported,supported
100552,supported,NEI
108750,NEI,supported
108752,supported,NEI
2257,NEI,NEI
100563,NEI,refuted
10454,NEI,NEI
100574,NEI,supported
108770,NEI,NEI
116962,NEI,refuted
108784,supported,refuted
2289,supported,NEI
116993,NEI,supported
100613,NEI,supported
100618,supported,supported
100620,supported,NEI
100624,supported,supported
100640,supported,supported
108835,supported,supported
108836,supported,supported
117027,NEI,refuted
100649,NEI,supported
108844,supported,supported
10547,supported,refuted
108853,NEI,refuted
108855,supported,refuted
117049,supported,NEI
108859,supported,supported
2364,NEI,refuted
100669,NEI,refuted
108863,NEI,refuted
2371,supported,NEI
100678,supported,refuted
117064,supported,NEI
2397,supported,supported
100703,supported,refuted
100708,supported,NEI
100718,NEI,NEI
100723,NEI,supported
10614,NEI,refuted
117111,NEI,NEI
117112,supported,refuted
100730,NEI,supported
117115,supported,supported
100733,NEI,supported
2430,NEI,NEI
108929,supported,supported
100750,supported,NEI
108943,NEI,supported
108944,NEI,supported
117134,NEI,refuted
100756,supported,NEI
108948,supported,supported
117143,NEI,refuted
108955,supported,supported
108960,NEI,refuted
2470,NEI,supported
100774,NEI,refuted
10668,NEI,NEI
2482,supported,NEI
108980,supported,refuted
10680,supported,NEI
10681,supported,NEI
2491,NEI,NEI
10686,NEI,NEI
2495,supported,refuted
108992,supported,refuted
2496,supported,NEI
100802,NEI,NEI
109000,supported,supported
109004,NEI,refuted
109006,NEI,refuted
10713,NEI,supported
100825,NEI,supported
100826,supported,supported
109020,NEI,supported
109018,supported,refuted
109021,supported,refuted
117220,supported,NEI
2536,NEI,NEI
100841,NEI,refuted
2538,NEI,NEI
109036,NEI,refuted
10742,NEI,refuted
2557,NEI,NEI
10751,supported,supported
109056,supported,supported
117250,NEI,NEI
10756,supported,supported
117260,supported,supported
2574,NEI,NEI
2576,supported,supported
2577,NEI,NEI
100886,NEI,NEI
10776,supported,supported
10777,NEI,NEI
117275,NEI,refuted
100892,NEI,supported
10781,supported,NEI
10779,supported,supported
10786,supported,NEI
100903,supported,supported
100909,supported,refuted
109109,NEI,NEI
117301,NEI,supported
117306,supported,refuted
109134,supported,NEI
100945,supported,supported
117336,supported,NEI
100954,NEI,refuted
117342,NEI,refuted
100959,supported,refuted
10858,supported,supported
109163,supported,NEI
2671,NEI,NEI
109167,supported,supported
2675,NEI,supported
100984,supported,refuted
117373,supported,supported
2689,NEI,supported
117377,NEI,NEI
109188,supported,NEI
10888,supported,NEI
101007,supported,refuted
117395,NEI,supported
2711,supported,NEI
109207,NEI,refuted
10910,NEI,NEI
2720,NEI,refuted
2723,NEI,refuted
109220,NEI,refuted
117415,supported,refuted
109225,supported,refuted
109226,supported,supported
109227,supported,supported
2733,supported,supported
101039,NEI,refuted
109232,supported,refuted
101049,supported,supported
2746,supported,refuted
117435,NEI,supported
101050,NEI,refuted
2748,supported,supported
2753,supported,NEI
10946,NEI,NEI
101068,supported,NEI
109263,NEI,NEI
101076,NEI,supported
2782,supported,supported
101089,NEI,refuted
101090,supported,refuted
10984,supported,NEI
10986,supported,NEI
109291,supported,supported
2795,supported,NEI
2799,NEI,NEI
10996,supported,NEI
109305,supported,supported
11006,NEI,supported
117502,supported,refuted
2817,supported,supported
117505,supported,NEI
117507,supported,supported
109325,supported,NEI
101140,supported,supported
11029,supported,NEI
2854,supported,supported
109353,NEI,NEI
109354,supported,refuted
11049,supported,NEI
109356,NEI,refuted
11056,supported,supported
109363,NEI,refuted
11060,supported,NEI
117560,NEI,refuted
117561,NEI,refuted
11065,supported,supported
101179,supported,refuted
11067,supported,supported
2877,NEI,NEI
101190,NEI,NEI
109384,supported,refuted
117579,supported,supported
109394,NEI,refuted
117590,NEI,refuted
101211,supported,supported
101235,NEI,refuted
101239,NEI,refuted
2935,supported,supported
2940,NEI,refuted
117633,supported,NEI
2946,NEI,supported
11153,supported,NEI
11155,NEI,supported
2964,supported,supported
101270,supported,supported
117654,NEI,supported
109462,supported,refuted
2971,NEI,NEI
109468,NEI,supported
109473,NEI,refuted
2978,supported,supported
101285,NEI,refuted
11180,supported,NEI
109485,NEI,supported
109486,supported,NEI
117679,supported,NEI
11187,supported,NEI
109492,supported,refuted
11194,supported,supported
109504,supported,refuted
11206,NEI,NEI
101321,supported,NEI
11211,NEI,NEI
109519,NEI,refuted
