claim_id,predict,label
114692,refuted,refuted
6,supported,NEI
17,supported,NEI
8223,supported,NEI
31,supported,supported
114723,supported,supported
8232,supported,NEI
114731,supported,supported
114732,NEI,refuted
49,supported,supported
114744,NEI,NEI
58,supported,supported
8251,supported,NEI
114752,NEI,refuted
65,supported,supported
106563,supported,refuted
70,supported,supported
8268,NEI,NEI
114765,NEI,supported
106574,NEI,NEI
83,supported,supported
90,NEI,NEI
106587,supported,NEI
97,supported,supported
104,supported,supported
105,supported,NEI
8298,NEI,NEI
8301,NEI,NEI
8309,NEI,supported
118,supported,supported
121,NEI,NEI
8314,supported,NEI
8329,NEI,NEI
114831,supported,supported
106643,supported,NEI
106646,supported,refuted
156,supported,NEI
106658,supported,supported
106662,refuted,refuted
169,supported,supported
171,NEI,NEI
114863,NEI,NEI
114864,NEI,refuted
180,supported,supported
114869,NEI,NEI
114876,refuted,refuted
194,supported,supported
106691,supported,NEI
106694,refuted,refuted
114886,refuted,refuted
211,supported,NEI
106710,NEI,NEI
106714,NEI,NEI
8412,supported,supported
106716,refuted,refuted
106717,refuted,refuted
8413,supported,supported
259,supported,supported
8455,refuted,refuted
281,supported,NEI
114974,NEI,refuted
291,supported,supported
106788,supported,NEI
106795,refuted,refuted
114988,supported,NEI
300,refuted,supported
8501,supported,supported
8502,supported,NEI
311,supported,supported
8503,supported,NEI
115003,NEI,refuted
8508,supported,supported
8519,supported,refuted
8521,NEI,NEI
8522,NEI,refuted
115019,supported,NEI
106828,NEI,refuted
345,NEI,supported
106841,NEI,refuted
8545,supported,refuted
8546,supported,supported
359,NEI,refuted
106864,NEI,NEI
106866,supported,supported
8574,supported,NEI
115071,refuted,refuted
106881,NEI,refuted
115074,refuted,refuted
106883,supported,supported
106889,supported,supported
115082,NEI,refuted
106892,refuted,NEI
106897,refuted,refuted
106911,NEI,refuted
419,supported,NEI
106917,NEI,refuted
8616,supported,NEI
106923,refuted,refuted
115120,NEI,NEI
115126,NEI,NEI
106935,NEI,NEI
115134,supported,NEI
106945,NEI,NEI
8646,NEI,NEI
106952,NEI,refuted
115147,NEI,refuted
115152,NEI,NEI
106962,NEI,refuted
106963,refuted,refuted
