claim_id,predict,label
114692,NEI,refuted
6,NEI,NEI
17,NEI,NEI
8223,NEI,NEI
31,NEI,supported
114723,NEI,supported
8232,NEI,NEI
114731,NEI,supported
114732,NEI,refuted
49,NEI,supported
114744,NEI,NEI
58,NEI,supported
8251,NEI,NEI
114752,NEI,refuted
65,NEI,supported
106563,NEI,refuted
70,NEI,supported
8268,NEI,NEI
114765,NEI,supported
106574,NEI,NEI
83,NEI,supported
90,NEI,NEI
106587,NEI,NEI
97,NEI,supported
104,supported,supported
105,supported,NEI
8298,NEI,NEI
8301,NEI,NEI
8309,NEI,supported
118,NEI,supported
121,NEI,NEI
8314,NEI,NEI
8329,NEI,NEI
114831,NEI,supported
106643,NEI,NEI
106646,NEI,refuted
156,supported,NEI
106658,NEI,supported
106662,NEI,refuted
169,NEI,supported
171,NEI,NEI
114863,NEI,NEI
114864,NEI,refuted
180,NEI,supported
114869,NEI,NEI
114876,NEI,refuted
194,NEI,supported
106691,NEI,NEI
106694,NEI,refuted
114886,NEI,refuted
211,NEI,NEI
106710,NEI,NEI
106714,NEI,NEI
8412,NEI,supported
106716,NEI,refuted
106717,NEI,refuted
8413,NEI,supported
259,NEI,supported
8455,NEI,refuted
281,NEI,NEI
114974,NEI,refuted
291,NEI,supported
106788,NEI,NEI
106795,supported,refuted
114988,NEI,NEI
300,NEI,supported
8501,NEI,supported
8502,supported,NEI
311,NEI,supported
8503,NEI,NEI
115003,NEI,refuted
8508,NEI,supported
8519,NEI,refuted
8521,NEI,NEI
8522,NEI,refuted
115019,NEI,NEI
106828,NEI,refuted
345,NEI,supported
106841,NEI,refuted
8545,NEI,refuted
8546,NEI,supported
359,NEI,refuted
106864,NEI,NEI
106866,NEI,supported
8574,NEI,NEI
115071,NEI,refuted
106881,NEI,refuted
115074,NEI,refuted
106883,NEI,supported
106889,NEI,supported
115082,NEI,refuted
106892,NEI,NEI
106897,NEI,refuted
106911,NEI,refuted
419,NEI,NEI
106917,NEI,refuted
8616,supported,NEI
106923,NEI,refuted
115120,NEI,NEI
115126,NEI,NEI
106935,NEI,NEI
115134,supported,NEI
106945,NEI,NEI
8646,NEI,NEI
106952,NEI,refuted
115147,NEI,refuted
115152,NEI,NEI
106962,NEI,refuted
106963,NEI,refuted
8660,NEI,supported
472,NEI,supported
478,NEI,NEI
8679,NEI,NEI
115180,NEI,NEI
106994,NEI,refuted
115192,NEI,supported
505,NEI,supported
107001,NEI,supported
513,NEI,NEI
107010,NEI,refuted
516,NEI,NEI
8709,NEI,supported
107018,NEI,refuted
107019,NEI,supported
523,NEI,supported
115216,NEI,NEI
107025,NEI,refuted
8720,NEI,NEI
107042,NEI,NEI
115245,NEI,NEI
115249,NEI,refuted
115254,NEI,refuted
569,NEI,NEI
107071,NEI,supported
8769,NEI,supported
107093,NEI,refuted
8790,NEI,NEI
115300,NEI,NEI
107110,NEI,refuted
622,supported,NEI
107126,NEI,refuted
107135,NEI,supported
115331,NEI,refuted
644,NEI,NEI
8841,NEI,NEI
115338,NEI,supported
115341,NEI,refuted
8859,NEI,NEI
667,NEI,supported
115359,NEI,refuted
675,NEI,NEI
8869,supported,refuted
115379,NEI,refuted
107188,NEI,refuted
107197,NEI,supported
107203,NEI,NEI
708,NEI,refuted
107205,NEI,NEI
718,NEI,supported
8910,supported,supported
8916,NEI,supported
107226,NEI,refuted
115421,NEI,supported
8935,NEI,NEI
115437,NEI,NEI
107246,supported,NEI
8946,NEI,supported
755,NEI,supported
760,NEI,NEI
107259,NEI,supported
767,NEI,NEI
107263,NEI,refuted
115459,NEI,NEI
8965,NEI,supported
107274,NEI,refuted
107278,NEI,refuted
107289,NEI,refuted
107290,NEI,NEI
107291,NEI,NEI
115482,NEI,refuted
800,NEI,NEI
8998,NEI,NEI
115496,supported,refuted
9004,NEI,supported
9010,NEI,NEI
107315,NEI,NEI
115510,NEI,supported
107321,NEI,refuted
107327,supported,refuted
836,NEI,NEI
115534,NEI,refuted
115538,NEI,refuted
115539,NEI,supported
9048,NEI,NEI
9049,NEI,supported
9058,NEI,supported
9065,NEI,refuted
115571,NEI,supported
107385,NEI,refuted
9082,NEI,supported
890,NEI,supported
892,supported,supported
900,NEI,supported
9093,NEI,NEI
115590,NEI,NEI
9102,NEI,supported
107407,NEI,NEI
9105,NEI,supported
9117,NEI,refuted
927,NEI,NEI
115619,NEI,refuted
932,supported,supported
9126,NEI,supported
115625,NEI,supported
9133,NEI,supported
9142,NEI,NEI
107449,NEI,refuted
115646,NEI,refuted
115652,NEI,supported
975,NEI,refuted
9172,NEI,supported
107477,NEI,refuted
1005,NEI,NEI
115703,NEI,refuted
1019,NEI,supported
9218,NEI,NEI
107539,NEI,refuted
115732,NEI,refuted
9237,NEI,NEI
107557,NEI,NEI
9256,NEI,refuted
1070,NEI,supported
9266,supported,NEI
1077,supported,NEI
1078,NEI,refuted
115771,NEI,supported
1090,NEI,NEI
1097,NEI,supported
9291,NEI,refuted
115788,NEI,supported
115799,supported,supported
107609,NEI,supported
9305,NEI,supported
1126,NEI,NEI
107623,NEI,supported
9329,NEI,NEI
9332,NEI,NEI
115831,NEI,refuted
115832,NEI,refuted
107644,NEI,refuted
9343,NEI,refuted
9345,NEI,supported
115848,NEI,refuted
1163,NEI,NEI
9358,NEI,NEI
115856,NEI,refuted
9367,NEI,NEI
9369,NEI,supported
107673,NEI,supported
107676,NEI,refuted
9372,NEI,supported
115873,NEI,NEI
1188,NEI,NEI
115877,NEI,NEI
1190,NEI,NEI
107686,NEI,NEI
107687,NEI,supported
1194,NEI,NEI
9388,NEI,supported
9389,NEI,NEI
107700,NEI,refuted
9400,NEI,supported
115901,supported,NEI
1216,NEI,NEI
