claim_id,predict,label
1,supported,supported
2,supported,supported
3,refuted,NEI
4,refuted,refuted
5,supported,supported
6,supported,NEI
7,NEI,supported
8,refuted,refuted
9,NEI,refuted
10,NEI,NEI
11,supported,supported
12,supported,supported
13,refuted,refuted
14,supported,supported
15,NEI,NEI
16,NEI,NEI
17,NEI,NEI
18,supported,supported
19,NEI,NEI
20,supported,NEI
21,supported,NEI
22,supported,supported
23,refuted,refuted
24,NEI,supported
25,NEI,refuted
26,supported,supported
27,NEI,supported
28,supported,supported
29,supported,supported
30,supported,supported
31,supported,supported
32,NEI,NEI
33,refuted,refuted
34,refuted,refuted
35,supported,NEI
36,supported,supported
37,NEI,NEI
38,NEI,NEI
39,NEI,NEI
40,supported,supported
41,NEI,supported
42,supported,NEI
43,refuted,refuted
44,supported,supported
45,supported,supported
46,refuted,refuted
47,refuted,refuted
48,refuted,refuted
49,refuted,refuted
50,NEI,NEI
51,supported,supported
52,NEI,NEI
53,NEI,NEI
54,NEI,supported
55,refuted,refuted
56,NEI,NEI
57,supported,supported
58,supported,NEI
59,supported,NEI
60,supported,supported
61,refuted,refuted
62,refuted,refuted
63,NEI,NEI
64,NEI,NEI
65,supported,NEI
66,NEI,NEI
67,supported,supported
68,NEI,NEI
69,supported,supported
70,NEI,supported
71,refuted,refuted
72,refuted,refuted
73,NEI,NEI
74,NEI,supported
75,supported,supported
76,supported,supported
77,supported,NEI
78,refuted,refuted
79,NEI,NEI
80,supported,NEI
81,supported,NEI
82,NEI,NEI
83,NEI,NEI
84,NEI,NEI
85,supported,supported
86,supported,supported
87,supported,supported
88,supported,supported
89,supported,NEI
90,supported,supported
91,supported,supported
92,supported,supported
93,supported,supported
94,supported,NEI
95,supported,supported
96,NEI,NEI
97,refuted,refuted
98,NEI,NEI
99,supported,refuted
100,refuted,refuted
101,NEI,supported
102,NEI,NEI
103,supported,supported
104,refuted,refuted
105,refuted,refuted
106,NEI,NEI
107,supported,NEI
108,NEI,NEI
109,supported,supported
110,refuted,refuted
111,NEI,supported
112,supported,supported
113,supported,supported
114,supported,supported
115,supported,supported
116,supported,supported
117,supported,supported
118,NEI,NEI
119,supported,supported
120,supported,supported
121,NEI,supported
122,supported,supported
123,NEI,supported
124,refuted,refuted
125,refuted,refuted
126,refuted,refuted
127,NEI,NEI
128,supported,supported
129,supported,supported
130,supported,NEI
131,NEI,refuted
132,supported,supported
133,supported,NEI
134,supported,supported
135,supported,supported
136,supported,supported
137,NEI,NEI
138,supported,supported
139,supported,supported
140,supported,supported
141,NEI,supported
142,NEI,NEI
143,NEI,NEI
144,supported,supported
145,NEI,supported
146,supported,supported
147,supported,supported
148,supported,supported
149,refuted,refuted
150,supported,supported
151,NEI,NEI
152,NEI,NEI
153,supported,supported
154,refuted,refuted
155,NEI,supported
156,supported,supported
157,supported,NEI
158,NEI,NEI
159,supported,supported
160,NEI,supported
161,NEI,NEI
162,refuted,refuted
163,supported,refuted
164,NEI,NEI
165,refuted,refuted
166,supported,NEI
167,supported,NEI
168,supported,supported
169,refuted,refuted
170,supported,NEI
171,supported,supported
172,NEI,supported
173,supported,NEI
174,supported,supported
175,NEI,NEI
176,refuted,refuted
177,supported,NEI
178,NEI,NEI
179,supported,supported
180,supported,NEI
181,NEI,NEI
182,supported,supported
183,NEI,NEI
184,supported,NEI
185,refuted,refuted
186,supported,supported
187,NEI,supported
188,supported,supported
189,supported,NEI
190,refuted,refuted
191,NEI,NEI
192,supported,NEI
193,NEI,supported
194,supported,supported
195,refuted,refuted
196,refuted,refuted
197,supported,NEI
198,supported,NEI
199,NEI,NEI
200,NEI,supported
201,NEI,supported
202,NEI,supported
203,supported,NEI
204,supported,NEI
205,supported,supported
206,supported,supported
207,supported,supported
208,supported,NEI
209,NEI,NEI
210,supported,supported
211,supported,supported
212,refuted,refuted
213,supported,supported
214,refuted,refuted
215,supported,NEI
216,supported,supported
217,NEI,NEI
218,NEI,NEI
219,supported,supported
220,NEI,NEI
221,NEI,supported
222,supported,supported
223,supported,supported
224,NEI,supported
225,NEI,NEI
226,NEI,NEI
227,refuted,refuted
228,supported,supported
229,NEI,supported
230,NEI,NEI
231,supported,supported
232,NEI,refuted
233,NEI,NEI
234,NEI,supported
235,NEI,NEI
236,supported,supported
237,NEI,NEI
238,refuted,refuted
239,supported,supported
240,supported,supported
241,NEI,NEI
242,supported,supported
243,supported,supported
244,supported,supported
245,refuted,refuted
246,supported,supported
247,refuted,refuted
248,supported,supported
249,NEI,NEI
250,supported,NEI
251,supported,NEI
252,NEI,NEI
253,NEI,NEI
254,supported,NEI
255,NEI,NEI
256,supported,supported
257,supported,supported
258,NEI,supported
259,refuted,refuted
260,supported,supported
261,supported,refuted
262,supported,supported
263,supported,NEI
264,refuted,refuted
265,supported,NEI
266,NEI,refuted
267,refuted,refuted
268,supported,NEI
269,refuted,refuted
270,supported,NEI
271,refuted,refuted
272,refuted,refuted
273,NEI,NEI
274,refuted,refuted
275,refuted,refuted
276,NEI,supported
277,supported,supported
278,supported,supported
279,refuted,refuted
280,NEI,NEI
281,supported,supported
282,supported,NEI
283,supported,NEI
284,NEI,NEI
285,supported,supported
286,supported,NEI
287,refuted,refuted
288,NEI,NEI
289,NEI,supported
290,NEI,NEI
291,refuted,refuted
292,NEI,NEI
293,NEI,NEI
294,NEI,NEI
295,supported,supported
296,supported,supported
297,NEI,refuted
298,supported,supported
299,NEI,NEI
300,refuted,refuted
301,refuted,refuted
302,refuted,refuted
303,supported,supported
304,NEI,supported
305,NEI,supported
306,NEI,supported
307,refuted,refuted
308,supported,supported
309,NEI,NEI
310,supported,NEI
311,NEI,NEI
312,refuted,refuted
313,NEI,supported
314,refuted,refuted
315,NEI,NEI
316,NEI,NEI
317,supported,supported
318,refuted,refuted
319,refuted,refuted
320,NEI,supported
321,supported,supported
322,NEI,NEI
323,refuted,refuted
324,supported,supported
325,refuted,refuted
326,NEI,NEI
327,supported,supported
328,NEI,supported
329,supported,supported
330,supported,refuted
331,refuted,refuted
332,NEI,NEI
333,supported,NEI
334,supported,NEI
335,refuted,refuted
336,NEI,NEI
337,refuted,refuted
338,supported,supported
339,supported,supported
340,NEI,NEI
341,NEI,supported
342,supported,NEI
343,supported,supported
344,supported,supported
345,refuted,refuted
346,refuted,refuted
347,supported,NEI
348,supported,supported
349,NEI,NEI
350,supported,supported
351,NEI,supported
352,supported,supported
353,supported,supported
354,supported,NEI
355,supported,supported
356,supported,supported
357,supported,supported
358,refuted,refuted
359,NEI,NEI
360,NEI,NEI
361,NEI,NEI
362,supported,supported
363,NEI,NEI
364,refuted,refuted
365,refuted,refuted
366,NEI,NEI
367,supported,supported
